regiao,uf,estacao,codigo_wmo,latitude,longitude,altitude,data_de_fundacao_yyyy_mm_dd
CO,DF,BRASILIA,A001,-15.78944444,-47.92583332,"1159,54",2000-05-07
CO,DF,BRAZLANDIA,A042,-15.59972221,-48.1311111,1143,2017-07-19
CO,DF,AGUAS EMENDADAS,A045,-15.59638888,-47.62583332,1200,2008-10-03
CO,DF,GAMA (PONTE ALTA),A046,-15.93527777,-48.13749999,990,2014-10-01
CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043,2017-02-07
CO,GO,GOIANIA,A002,-16.64277777,-49.21999999,770,2001-05-29
CO,GO,MORRINHOS,A003,-17.71666667,-49.1,"771,42",2001-05-25
CO,GO,SAO SIMAO,A011,-18.96666666,-50.61666666,"488,51",2006-07-15
CO,GO,LUZIANIA,A012,-16.27222222,-47.96638889,"959,5",2006-10-21
CO,GO,ARAGARCAS,A013,-15.90583333,-52.24388888,347,2007-07-13
CO,GO,GOIAS,A014,-15.93916666,-50.14138888,512,2007-07-18
CO,GO,ITAPACI,A015,-14.98027777,-49.53944444,522,2007-02-03
CO,GO,JATAI,A016,-17.92388888,-51.71777777,582,2007-05-23
CO,GO,POSSE,A017,-14.08916666,-46.36638888,834,2007-04-18
CO,GO,GOIANESIA,A022,-15.22027777,-48.99027777,667,2007-06-02
CO,GO,CAIAPONIA,A023,-16.96666666,-51.81749999,737,2007-05-21
CO,GO,ALTO PARAISO DE GOIAS,A024,-14.13305554,-47.52305554,1260,2007-06-04
CO,GO,RIO VERDE,A025,-17.78583333,-50.98138888,782,2007-05-17
CO,GO,MINEIROS,A026,-17.45472222,-52.60111111,862,2007-11-24
CO,GO,PARAUNA,A027,-16.94583333,-50.42527777,678,2008-03-29
CO,GO,IPORA,A028,-16.42305554,-51.14805555,625,2013-06-24
CO,GO,EDEIA,A029,-17.33694444,-49.91472222,608,2017-08-26
CO,GO,SAO MIGUEL DO ARAGUAIA,A031,-12.81972221,-50.34166666,340,2017-06-29
CO,GO,MONTE ALEGRE DE GOIAS,A032,-13.24805555,-46.88972221,1253,2007-06-07
CO,GO,PIRES DO RIO,A033,-17.30416666,-48.28416666,752,2007-10-12
CO,GO,CATALAO,A034,-18.15777777,-47.92638888,890,2008-01-31
CO,GO,ITUMBIARA,A035,-18.40972222,-49.19194444,488,2007-11-01
CO,GO,CRISTALINA,A036,-16.78805555,-47.61166666,1202,2007-12-14
CO,GO,SILVANIA,A037,-16.67694443,-48.61805554,949,2010-10-08
CO,MS,CAMPO GRANDE,A702,-20.45,-54.6,530,2001-09-10
CO,MS,PONTA PORA,A703,-22.5525,-55.71638888,675,2001-09-07
CO,MS,TRES LAGOAS,A704,-20.78999999,-51.71222222,313,2001-09-03
CO,MS,IVINHEMA,A709,-22.30666666,-53.82722221,"373,8",2003-02-08
CO,MS,PARANAIBA,A710,-19.69527777,-51.18138888,424,2006-11-10
CO,MS,NHUMIRIM,A717,-18.98888888,-56.62305554,91,2006-08-02
CO,MS,AQUIDAUANA,A719,-20.47555554,-55.78388888,155,2006-11-01
CO,MS,COXIM,A720,-18.51222222,-54.73583333,252,2006-11-06
CO,MS,DOURADOS,A721,-22.19388888,-54.91138888,469,2006-10-18
CO,MS,MIRANDA,A722,-20.38333333,-56.41666666,140,2006-11-02
CO,MS,PORTO MURTINHO,A723,-21.70583333,-57.88666666,85,2006-10-24
CO,MS,CORUMBA,A724,-18.99666666,-57.63749999,126,2006-10-26
CO,MS,CHAPADAO DO SUL,A730,-18.80222222,-52.60277777,818,2006-12-20
CO,MS,MARACAJU,A731,-21.60916666,-55.17777777,400,2006-12-15
CO,MS,SAO GABRIEL DO OESTE,A732,-19.42027777,-54.55305555,647,2006-12-18
CO,MS,CASSILANDIA,A742,-19.12249999,-51.72083332,516,2008-03-08
CO,MS,RIO BRILHANTE,A743,-21.77472221,-54.52805554,329,2008-06-26
CO,MS,JUTI,A749,-22.85722222,-54.60555555,379,2008-06-16
CO,MS,AMAMBAI,A750,-23.0025,-55.32944443,431,2008-06-11
CO,MS,SETE QUEDAS,A751,-23.96694443,-55.02416666,402,2008-06-03
CO,MS,ITAQUIRAI,A752,-23.44944444,-54.18166666,336,2008-05-28
CO,MS,SIDROLANDIA,A754,-20.98166666,-54.97194443,464,2008-09-29
