regiao,uf,estacao,codigo_wmo,latitude,longitude,altitude,data_de_fundacao
CO,DF,BRASILIA,A001,-15.78944444,-47.92583332,"1160,96",07/05/00
CO,DF,BRAZLANDIA,A042,-15.59972221,-48.1311111,1143,19/07/17
CO,DF,AGUAS EMENDADAS,A045,-15.596491,-47.625801,"1030,36",03/10/08
CO,DF,GAMA (PONTE ALTA),A046,-15.93527777,-48.13749999,990,01/10/14
CO,DF,PARANOA (COOPA-DF),A047,-16.012222,-47.557417,1043,07/02/17
CO,GO,GOIANIA,A002,-16.642841,-49.220222,"727,3",29/05/01
CO,GO,MORRINHOS,A003,-17.745066,-49.101698,"751,09",25/05/01
CO,GO,PORANGATU,A005,-13.30944444,-49.11749999,365,04/06/01
CO,GO,SAO SIMAO,A011,-18.969142,-50.633449,"492,45",15/07/06
CO,GO,LUZIANIA,A012,-16.26055555,-47.96694443,"1000,82",21/10/06
CO,GO,ARAGARCAS,A013,-15.90277777,-52.24527777,"327,35",13/07/07
CO,GO,GOIAS,A014,-15.93972221,-50.14138888,"512,86",18/07/07
CO,GO,ITAPACI,A015,-14.97972221,-49.53999999,"551,16",03/02/07
CO,GO,JATAI,A016,-17.923622,-51.717467,"670,08",23/05/07
CO,GO,POSSE,A017,-14.08916666,-46.36638888,830,18/04/07
CO,GO,GOIANESIA,A022,-15.22027777,-48.98999999,"667,01",02/06/07
CO,GO,CAIAPONIA,A023,-16.96694443,-51.81749999,"740,1",21/05/07
CO,GO,ALTO PARAISO DE GOIAS,A024,-14.13305554,-47.52333332,"1264,7",04/06/07
CO,GO,RIO VERDE,A025,-17.78527777,-50.965,"780,11",17/05/07
CO,GO,MINEIROS,A026,-17.45472222,-52.60111111,862,24/11/07
CO,GO,PARAUNA,A027,-16.9625,-50.42555554,"678,74",29/03/08
CO,GO,IPORA,A028,-16.42305554,-51.14888888,"610,41",24/06/13
CO,GO,EDEIA,A029,-17.33694444,-49.91472222,608,26/08/17
CO,GO,SAO MIGUEL DO ARAGUAIA,A031,-12.82055554,-50.33583333,210,29/06/17
CO,GO,MONTE ALEGRE DE GOIAS,A032,-13.25361111,-46.89027777,552,07/06/07
CO,GO,PIRES DO RIO,A033,-17.30416666,-48.28416666,"757,27",12/10/07
CO,GO,CATALAO,A034,-18.154779,-47.927614,"900,72",31/01/08
